beta;rdl;XH;YH;NH;XPl;XPr;YPl;YPr;delta;n;u;vm
-6.0;0.0;-0.03698810210860108;-0.04971790923355453;-0.010823460715609816;0.015116768075470232;0.01698362783233689;-0.003533626197388909;-0.0026786909687399416;0;14.8;1.458;0.10452846326765347
-4.0;-0.7766552498535169;-0.0685306207885079;0.22634160200336434;0.05612254336421795;0.010545698323953486;0.009752934836332558;0.012755097147234124;0.013243130146442296;0;14.8;1.458;0.0697564737441253
-4.0;-0.5672716003131596;-0.06396881112058286;0.1645621292129462;0.03607942261503167;0.013292043660783778;0.01243054801324111;0.00627397090226437;0.006513870385321056;0;14.8;1.458;0.0697564737441253
-4.0;-0.3965727124064168;-0.054019869889026226;0.09310398717348878;0.01906478981740988;0.014985120921829619;0.014435834673939791;0.001544515347711063;0.0016651749494432046;0;14.8;1.458;0.0697564737441253
-4.0;-0.1994372016713366;-0.04313186154249469;0.025587513235939267;0.0014269416411801647;0.012409709796528477;0.013250732840266817;0.0012454525611011646;-0.002476397668076935;0;14.8;1.458;0.0697564737441253
-4.0;0.0;-0.03437326589325659;-0.03815788734940874;-0.004864484195635646;0.014638125700060461;0.0157905469071549;-0.00405878071474343;-0.0030689101461266214;0;14.8;1.458;0.0697564737441253
-4.0;0.1994372016713366;-0.024041462819815146;-0.10242985402437205;-0.021001727816639913;0.012409709796528477;0.013250732840266817;-0.0012721334898894727;-0.005320476407688619;0;14.8;1.458;0.0697564737441253
-4.0;0.3965727124064168;-0.01734557568427212;-0.14652784822009263;-0.043270516906816214;0.014985120921829619;0.014435834673939791;-0.0016196658310670944;-0.0016757522208183104;0;14.8;1.458;0.0697564737441253
-4.0;0.5672716003131596;-0.010328905281537109;-0.2091866645064493;-0.06894295761874848;0.013292043660783778;0.01243054801324111;-0.0021699216860675123;-0.0018854805918544248;0;14.8;1.458;0.0697564737441253
-4.0;0.7766552498535169;-0.001121923042898463;-0.28082471396083875;-0.08927888765736276;0.010545698323953486;0.009752934836332558;-0.009378308150243339;-0.00861791305705901;0;14.8;1.458;0.0697564737441253
-2.0;0.0;-0.03289173505992794;-0.023686301110100574;-0.00048347420616790936;0.014842085543593252;0.014727376833713795;-0.0035162038481659948;-0.002916179650456077;0;14.8;1.458;0.03489949670250097
0.01;-0.7699130369453558;-0.028182411477645844;0.27217346154894473;0.061437221631086086;0.010496947535162235;0.010064348065200972;0.016288436271642108;0.016149145150128573;0;14.8;1.458;-0.0001745329243133368
0.01;-0.5636005034806532;-0.03307135771451671;0.20012141245913878;0.04526597544467351;0.013191390206560813;0.012614286153728201;0.007460421862451242;0.007374540564592248;0;14.8;1.458;-0.0001745329243133368
0.01;-0.3969927145525863;-0.03278406341389776;0.14006414937575956;0.02249825864940563;0.014873141478174591;0.014475133328729932;0.006912649010123987;0.006244823775038896;0;14.8;1.458;-0.0001745329243133368
0.01;-0.1979132488380971;-0.03310142626775522;0.08864345697879403;0.001632238794157543;0.015722392043814527;0.015203292930148667;0.008201042850860396;0.0072340995449713605;0;14.8;1.458;-0.0001745329243133368
0.01;0.0;-0.03131485736716364;-0.007177985133484478;0.0028829505387040428;0.014639222951478794;0.01472461759479335;-0.002026891328728317;-0.0015266355586716176;0;14.8;1.458;-0.0001745329243133368
0.01;0.1979132488380971;-0.03508935242267372;-0.05616042928837524;-0.015431166500997335;0.015722392043814527;0.015203292930148667;0.0022015787410468867;0.001419590218273016;0;14.8;1.458;-0.0001745329243133368
0.01;0.3969927145525863;-0.036380819648547745;-0.11624383955160311;-0.03268394087799236;0.014873141478174591;0.014475133328729932;-0.0006949305580577383;-0.0005573848176414445;0;14.8;1.458;-0.0001745329243133368
0.01;0.5636005034806532;-0.03794885363332937;-0.17306325538254375;-0.05798339658392436;0.013191390206560813;0.012614286153728201;-0.0007553658466751781;-0.0008683708788428584;0;14.8;1.458;-0.0001745329243133368
0.01;0.7699130369453558;-0.04107541377265991;-0.24321524606234668;-0.07866559171879844;0.010496947535162235;0.010064348065200972;-0.007478176839747974;-0.0069099441277882334;0;14.8;1.458;-0.0001745329243133368
2.0;0.0;-0.03229044301845993;0.014614400464189263;0.003955213471602905;0.01459616055582448;0.01478392791409786;0.0008939917123951619;0.0011840676490866475;0;14.8;1.458;-0.03489949670250097
4.0;-0.7632728972439955;0.010864365295387191;0.33737785915300894;0.07993933824003485;0.010945319492399179;0.010676112701279198;0.0194607673126497;0.01987924530024572;0;14.8;1.458;-0.0697564737441253
4.0;-0.5588781616149032;-0.010634138542969945;0.23145219161190103;0.05705979997956454;0.013366066907338157;0.01304130364661862;0.00854256805063665;0.008537644086049258;0;14.8;1.458;-0.0697564737441253
